x,y,T
0.0211055,0.00242424,293.704
0.021608,0.00242424,293.72
0.0221106,0.00242424,293.737
0.0226131,0.00242424,293.754
0.0231156,0.00242424,293.772
0.0236181,0.00242424,293.789
0.0241206,0.00242424,293.807
0.0246231,0.00242424,293.825
0.0251256,0.00242424,293.844
0.0256281,0.00242424,293.862
0.0261307,0.00242424,293.881
0.0266332,0.00242424,293.9
0.0271357,0.00242424,293.919
0.0276382,0.00242424,293.939
0.0281407,0.00242424,293.958
0.0286432,0.00242424,293.977
0.0291457,0.00242424,293.997
0.0296482,0.00242424,294.016
0.0301508,0.00242424,294.036
0.0306533,0.00242424,294.055
0.0311558,0.00242424,294.075
0.0316583,0.00242424,294.094
0.0321608,0.00242424,294.113
0.0326633,0.00242424,294.132
0.0331658,0.00242424,294.151
0.0336683,0.00242424,294.17
0.0341709,0.00242424,294.188
0.0346734,0.00242424,294.206
0.0351759,0.00242424,294.224
0.0356784,0.00242424,294.242
0.0361809,0.00242424,294.259
0.0366834,0.00242424,294.276
0.0371859,0.00242424,294.293
0.0376884,0.00242424,294.309
0.038191,0.00242424,294.324
0.0386935,0.00242424,294.34
0.039196,0.00242424,294.354
0.0396985,0.00242424,294.368
0.040201,0.00242424,294.382
0.0407035,0.00242424,294.395
0.041206,0.00242424,294.408
0.0417085,0.00242424,294.419
0.0422111,0.00242424,294.431
0.0427136,0.00242424,294.441
0.0432161,0.00242424,294.451
0.0437186,0.00242424,294.461
0.0442211,0.00242424,294.469
0.0447236,0.00242424,294.477
0.0452261,0.00242424,294.484
0.0457286,0.00242424,294.491
0.0462312,0.00242424,294.496
0.0467337,0.00242424,294.501
0.0472362,0.00242424,294.506
0.0477387,0.00242424,294.509
0.0482412,0.00242424,294.512
0.0487437,0.00242424,294.514
0.0492462,0.00242424,294.515
0.0497487,0.00242424,294.515
0.0502513,0.00242424,294.515
0.0507538,0.00242424,294.514
0.0512563,0.00242424,294.512
0.0517588,0.00242424,294.51
0.0522613,0.00242424,294.506
0.0527638,0.00242424,294.502
0.0532663,0.00242424,294.497
0.0537688,0.00242424,294.492
0.0542714,0.00242424,294.485
0.0547739,0.00242424,294.478
0.0552764,0.00242424,294.47
0.0557789,0.00242424,294.462
0.0562814,0.00242424,294.453
0.0567839,0.00242424,294.443
0.0572864,0.00242424,294.432
0.0577889,0.00242424,294.421
0.0582915,0.00242424,294.409
0.058794,0.00242424,294.397
0.0592965,0.00242424,294.384
0.059799,0.00242424,294.371
0.0603015,0.00242424,294.357
0.060804,0.00242424,294.342
0.0613065,0.00242424,294.327
0.061809,0.00242424,294.311
0.0623116,0.00242424,294.295
0.0628141,0.00242424,294.279
0.0633166,0.00242424,294.262
0.0638191,0.00242424,294.245
0.0643216,0.00242424,294.227
0.0648241,0.00242424,294.209
