x,z,T
0.0557789,0.000204082,297.347
0.0562814,0.000204082,297.314
0.0567839,0.000204082,297.277
0.0572864,0.000204082,297.237
0.0577889,0.000204082,297.195
0.0582915,0.000204082,297.149
0.058794,0.000204082,297.099
0.0592965,0.000204082,297.047
0.059799,0.000204082,296.99
0.0603015,0.000204082,296.931
0.060804,0.000204082,296.867
0.0613065,0.000204082,296.8
0.061809,0.000204082,296.729
0.0623116,0.000204082,296.654
0.0628141,0.000204082,296.576
0.0633166,0.000204082,296.494
0.0638191,0.000204082,296.407
0.0643216,0.000204082,296.318
0.0648241,0.000204082,296.225
0.0653266,0.000204082,296.129
0.0658291,0.000204082,296.031
0.0663317,0.000204082,295.932
0.0668342,0.000204082,295.832
0.0673367,0.000204082,295.732
0.0678392,0.000204082,295.632
0.0683417,0.000204082,295.535
0.0688442,0.000204082,295.44
0.0693467,0.000204082,295.347
0.0698492,0.000204082,295.257
0.0703518,0.000204082,295.17
0.0708543,0.000204082,295.087
0.0713568,0.000204082,295.006
0.0718593,0.000204082,294.929
0.0723618,0.000204082,294.854
0.0728643,0.000204082,294.783
0.0733668,0.000204082,294.715
0.0738693,0.000204082,294.65
0.0743719,0.000204082,294.587
0.0748744,0.000204082,294.527
0.0753769,0.000204082,294.469
0.0758794,0.000204082,294.414
0.0763819,0.000204082,294.361
0.0768844,0.000204082,294.311
0.0773869,0.000204082,294.263
0.0778894,0.000204082,294.216
0.078392,0.000204082,294.172
0.0788945,0.000204082,294.129
0.079397,0.000204082,294.089
0.0798995,0.000204082,294.05
0.080402,0.000204082,294.013
0.0809045,0.000204082,293.977
0.081407,0.000204082,293.943
0.0819095,0.000204082,293.91
0.0824121,0.000204082,293.879
0.0829146,0.000204082,293.85
0.0834171,0.000204082,293.821
0.0839196,0.000204082,293.794
0.0844221,0.000204082,293.768
0.0849246,0.000204082,293.743
0.0854271,0.000204082,293.72
0.0859296,0.000204082,293.697
0.0864322,0.000204082,293.676
0.0869347,0.000204082,293.656
0.0874372,0.000204082,293.636
0.0879397,0.000204082,293.618
0.0884422,0.000204082,293.601
0.0889447,0.000204082,293.584
0.0894472,0.000204082,293.569
0.0899497,0.000204082,293.554
0.0904523,0.000204082,293.54
0.0909548,0.000204082,293.527
0.0914573,0.000204082,293.515
0.0919598,0.000204082,293.504
0.0924623,0.000204082,293.493
0.0929648,0.000204082,293.483
0.0934673,0.000204082,293.474
0.0939698,0.000204082,293.465
0.0944724,0.000204082,293.458
0.0949749,0.000204082,293.45
0.0954774,0.000204082,293.444
0.0959799,0.000204082,293.438
0.0964824,0.000204082,293.433
0.0969849,0.000204082,293.429
0.0974874,0.000204082,293.425
0.0979899,0.000204082,293.422
0.0984925,0.000204082,293.419
0.098995,0.000204082,293.417
0.0994975,0.000204082,293.416
0.1,0.000204082,293.415
0,0.000408163,293.425
0.000502513,0.000408163,293.426
0.00100503,0.000408163,293.427
0.00150754,0.000408163,293.429
0.00201005,0.000408163,293.432
0.00251256,0.000408163,293.435
0.00301508,0.000408163,293.439
0.00351759,0.000408163,293.444
0.0040201,0.000408163,293.449
0.00452261,0.000408163,293.455
0.00502513,0.000408163,293.462
0.00552764,0.000408163,293.469
0.00603015,0.000408163,293.477
0.00653266,0.000408163,293.486
0.00703518,0.000408163,293.496
0.00753769,0.000408163,293.506
0.0080402,0.000408163,293.517
0.00854271,0.000408163,293.529
0.00904523,0.000408163,293.542
0.00954774,0.000408163,293.556
0.0100503,0.000408163,293.57
0.0105528,0.000408163,293.585
0.0110553,0.000408163,293.602
0.0115578,0.000408163,293.619
0.0120603,0.000408163,293.637
0.0125628,0.000408163,293.656
0.0130653,0.000408163,293.676
0.0135678,0.000408163,293.697
0.0140704,0.000408163,293.72
0.0145729,0.000408163,293.743
0.0150754,0.000408163,293.768
0.0155779,0.000408163,293.793
0.0160804,0.000408163,293.82
0.0165829,0.000408163,293.849
0.0170854,0.000408163,293.878
0.0175879,0.000408163,293.909
0.0180905,0.000408163,293.942
0.018593,0.000408163,293.976
0.0190955,0.000408163,294.011
0.019598,0.000408163,294.049
0.0201005,0.000408163,294.087
0.020603,0.000408163,294.128
0.0211055,0.000408163,294.171
0.021608,0.000408163,294.215
0.0221106,0.000408163,294.261
0.0226131,0.000408163,294.31
0.0231156,0.000408163,294.36
0.0236181,0.000408163,294.413
0.0241206,0.000408163,294.468
0.0246231,0.000408163,294.526
0.0251256,0.000408163,294.586
0.0256281,0.000408163,294.648
0.0261307,0.000408163,294.714
0.0266332,0.000408163,294.782
0.0271357,0.000408163,294.854
0.0276382,0.000408163,294.928
0.0281407,0.000408163,295.005
0.0286432,0.000408163,295.086
0.0291457,0.000408163,295.17
0.0296482,0.000408163,295.257
0.0301508,0.000408163,295.347
0.0306533,0.000408163,295.44
0.0311558,0.000408163,295.536
0.0316583,0.000408163,295.633
0.0321608,0.000408163,295.733
0.0326633,0.000408163,295.833
0.0331658,0.000408163,295.934
0.0336683,0.000408163,296.034
0.0341709,0.000408163,296.132
0.0346734,0.000408163,296.228
0.0351759,0.000408163,296.321
0.0356784,0.000408163,296.411
0.0361809,0.000408163,296.497
0.0366834,0.000408163,296.58
0.0371859,0.000408163,296.659
0.0376884,0.000408163,296.734
0.038191,0.000408163,296.805
0.0386935,0.000408163,296.872
0.039196,0.000408163,296.936
0.0396985,0.000408163,296.996
0.040201,0.000408163,297.052
0.0407035,0.000408163,297.105
0.041206,0.000408163,297.154
0.0417085,0.000408163,297.201
0.0422111,0.000408163,297.244
0.0427136,0.000408163,297.284
0.0432161,0.000408163,297.32
0.0437186,0.000408163,297.354
0.0442211,0.000408163,297.385
0.0447236,0.000408163,297.413
0.0452261,0.000408163,297.438
0.0457286,0.000408163,297.461
0.0462312,0.000408163,297.48
0.0467337,0.000408163,297.497
0.0472362,0.000408163,297.512
0.0477387,0.000408163,297.523
0.0482412,0.000408163,297.532
0.0487437,0.000408163,297.539
0.0492462,0.000408163,297.543
0.0497487,0.000408163,297.544
0.0502513,0.000408163,297.543
0.0507538,0.000408163,297.539
0.0512563,0.000408163,297.533
0.0517588,0.000408163,297.524
0.0522613,0.000408163,297.512
0.0527638,0.000408163,297.498
0.0532663,0.000408163,297.481
0.0537688,0.000408163,297.462
0.0542714,0.000408163,297.439
0.0547739,0.000408163,297.414
0.0552764,0.000408163,297.386
0.0557789,0.000408163,297.356
0.0562814,0.000408163,297.322
0.0567839,0.000408163,297.285
0.0572864,0.000408163,297.245
0.0577889,0.000408163,297.203
0.0582915,0.000408163,297.156
0.058794,0.000408163,297.107
0.0592965,0.000408163,297.054
0.059799,0.000408163,296.998
0.0603015,0.000408163,296.938
0.060804,0.000408163,296.875
0.0613065,0.000408163,296.807
0.061809,0.000408163,296.736
0.0623116,0.000408163,296.661
0.0628141,0.000408163,296.583
0.0633166,0.000408163,296.5
0.0638191,0.000408163,296.414
0.0643216,0.000408163,296.324
0.0648241,0.000408163,296.231
0.0653266,0.000408163,296.135
0.0658291,0.000408163,296.037
